KUNDENR;CVRNR;KUNDETYPE;REGION;BUTIKSNAVN;KUNDENAVN;ADRESSE;LAND;POSTNR;BYNAVN;TLFNR;EDINR;EMAIL
841189-4;32677150;86;5;SHELL LYNGBYVEJEN;LEFRE ENERGI APS.;LYNGBYVEJEN 60 A;DK;2100;KØBENHAVN Ø;39205501;5790000609055;1189@RBA-DK.DK
861129-5;29396183;86;5;SHELL RINGSTEDGADE;RETAIL VESTSJÆLLAND;RINGSTEDGADE 244;DK;4700;NÆSTVED;55720166;5790000661381;1129@RBA-DK.DK
861167-5;29396183;86;5;SHELL HAVNEGADE;RETAIL VESTSJÆLLAND;HAVNEGADE 60;DK;4700;NÆSTVED;55721230;5790000661398;1167@RBA-DK.DK
843095-1;28894937;86;7;SHELL DODO ØRSLEV;RETAIL SYD A/S;KØBENHAVNSVEJ - ØRSLEV;DK;4760;VORDINGBORG;55986272;5790000661657;THOMAS@RETAIL.DK
841066-4;20584807;86;7;SHELL DALBY DODO;MICHAEL OLE THISTED HANSEN;VORDINGBORGVEJ 424 -  DALBY;DK;4690;HASLEV;56398195;5790000661701;SHELL.DALBY@MAIL.DK
843048-0;20584807;86;7;SHELL ST.HEDDINGE DODO;MICHAEL OLE THISTED HANSEN;HØJERUPVEJ 2;DK;4660;STORE HEDDINGE;56502418;5790000661749;SHELL.HEDDINGE@MAIL.DK
893137-0;28894937;86;7;SHELL DODO STEGE;RETAIL SYD A/S;NY ØRNEBJERGVEJ 1;DK;4780;STEGE;55814492;5790000661770;THOMAS@RETAILSYD.DK
814581-5;31059607;86;7;SHELL DODO GRINDSTED;BIRTHE KROG JENSEN;VESTERGADE 69;DK;7200;GRINDSTED;75320815;5790000668168;TB@SHELLGRINDSTED.DK
871174-9;31170826;86;5;SHELL KØBENHAVNSVEJ;ENERGY2GO;KØBENHAVNSVEJ 20-24;DK;4000;ROSKILDE;46366900;5790000671526;1174@RBA-DK.DK
861005-7;31151503;86;5;SHELL AMAGERFÆLLEDVEJ;SEIDE RETAIL APS;AMAGERFÆLLEDVEJ 38;DK;2300;KØBENHAVN S;32572301;5790000671823;1005@RBA-DK.DK
871535-1;31170826;86;5;SHELL HEDEHUSENE;ENERGY2GO;HOVEDGADEN 482;DK;2640;HEDEHUSENE;46560395;5790000671830;1535@RBA-DK.DK
861534-6;31623197;86;5;SHELL ØLSTYKKE;TCB RETAIL APS;FREDERIKSSUNDSVEJ 225;DK;3650;ØLSTYKKE;47174854;5790000672042;1534@RBA-DK.DK
861173-3;31151503;86;5;SHELL VERMLANDSGADE;SEIDE RETAIL APS;VERMLANDSGADE 41;DK;2300;KØBENHAVN S;32543544;5790000672370;1173@RBA-DK.DK
861520-5;31151503;86;5;SHELL BORGMESTEREN;SEIDE RETAIL APS;BORGM.CHRISTIANSENSGADE 59;DK;2450;KØBENHAVN SV;33256102;5790000672387;1520@RBA-DK.DK
814313-3;30460693;86;7;SHELL DODO;SHELL RAVNSTRUP A/S;HOLSTEBROVEJ 141, RAVNSTRUP;DK;8800;VIBORG;86647142;5790000707669;SHELLRAVNSTRUP@HOTMAIL.COM
841218-1;20716193;86;7;SHELL DODO SVENDBORG;OLE MORTENSEN;VESTERGADE 78;DK;5700;SVENDBORG;62211975;5790000707775;O.MORTENSEN@C.DK
871153-3;31170826;86;5;SHELL NÆSTVEDVEJ;ENERGY2GO APS;NÆSTVEDVEJ 19;DK;4100;RINGSTED;57610099;5790000710942;1153@RBA-DK.DK
880860-2;10373816;86;0;DANSK SHELL A/S-TRANSPORT;MIKADO HOUSE;RUED LANGGARDSVEJ 6 - 8, 5.;DK;2300;KØBENHAVN S;33372000;5790001099916;DK-INVOICES@SHELL.COM
880852-9;10373816;86;0;DANSK SHELL A/S- KUNDESUP;MIKADO HOUSE;RUED LANGGARDSVEJ  6 - 8, 5.;DK;2300;KØBENHAVN S;33372000;5790001254964;DK-INVOICES@SHELL.COM
894802-8;28869967;86;5;SHELL RØNNE;THORBJØRN RAFN APS;ZAHRTMANNSVEJ 100, RUNDKØRSLEN;DK;3700;RØNNE;56953921;5790001256623;4802@RBA-DK.DK
894800-2;28869967;86;5;SHELL ÅKIRKEBY;THORBJØRN RAFN APS;VESTERBRO 34;DK;3720;AAKIRKEBY;56974425;5790001256630;4800@RBA-DK.DK
891950-8;28869967;86;5;SHELL ALLINGE;THORBJØRN RAFN APS;BORRELYNGVEJ 1A;DK;3770;ALLINGE;56480907;5790001256647;1950@RBA-DK.DK
889999-9;99999999;86;0;DANSK SHELL A/S RBA;MIKADO HOUSE;RUED LANGGAARDSVEJ  6-8, 5.;DK;2300;KØBENHAVN S;33372000;5790001256791; 
891416-0;28963505;86;5;SHELL SERVICE ODENSE C;THOMAS NØRBÆK;HJALLESEVEJ 25;DK;5000;ODENSE C;66130431;5790001256838;1416@RBA-DK.DK
891575-3;28963505;86;5;SHELL SERVICE ODENSE S;THOMAS NØRBÆK;SVENDBORGVEJ 85-87;DK;5260;ODENSE S;66142619;5790001256845;1575@RBA-DK.DK
891613-2;28963505;86;5;SHELL SERVICE ODENSE SV;THOMAS NØRBÆK;DALUMVEJ 61-65;DK;5250;ODENSE SV;66139377;5790001256852;1613@RBA-DK.DK
891825-2;28963505;86;5;SHELL SERVICE VISSENBJERG;THOMAS NØRBÆK;KILDEBJERG SYD 2;DK;5492;VISSENBJERG;65967890;5790001256869;1825@RBA-DK.DK
891821-1;28963505;86;5;SHELL SERVICE ODENSE SØ;THOMAS NØRBÆK;EJBYGADE 2-4;DK;5220;ODENSE SØ;66136602;5790001256876;1821@RBA-DK.DK
891429-3;28995407;86;5;SHELL SERVICE;HENRIK STILHOFF PETERSEN;OVER JERSTALVEJ 9;DK;6500;VOJENS;74540392;5790001256968;1429@RBA-DK.DK
891431-9;28995407;86;5;SHELL SERVICE;HENRIK STILHOFF PETERSEN;ALSGADE 86;DK;6400;SØNDERBORG;74425445;5790001256975;1431@RBA-DK.DK
891448-3;28995407;86;5;SHELL SERVICE;HENRIK STILHOFF PETERSEN;SØNDERBORGVEJ 8A;DK;6340;KRUSÅ;74671419;5790001257040;HENRIK@STILHOFF.COM
891722-1;29134227;86;5;SHELL HADSUND;LINDE TERP APS;HIMMERLANDSGADE 12;DK;9560;HADSUND;98571871;5790001257675;1722@RBA-DK.DK
891815-3;29134227;86;5;SHELL HAVNEN;LINDE TERP APS;HAVNEGADE 7, HAVNEN;DK;8900;RANDERS C;86420655;5790001257682;1815@RBA-DK.DK
891768-4;29134227;86;5;SHELL VIBORGVEJ;LINDE TERP APS;VIBORGVEJ 94;DK;8920;RANDERS NV;86431378;5790001257699;1768@RBA-DK.DK
891833-6;29134227;86;5;SHELL HAVERSLEV;LINDE TERP APS;INDUSTRIPARKEN 2, HAVERSLEV;DK;9610;NØRAGER;98654585;5790001257705;1833@RBA-DK.DK
894431-6;29134227;86;5;SHELL HOBRO;LINDE TERP APS;ÅLBORGVEJ 2;DK;9500;HOBRO;98510255;5790001257712;4431@RBA-DK.DK
891762-7;29134227;86;5;SHELL AARS;LINDE TERP APS;AGGERSUNDVEJ 77;DK;9600;AARS;98621830;5790001257729;1762@RBA-DK.DK
891816-1;29134227;86;5;SHELL ÅRHUSVEJ;LINDE TERP APS;ÅRHUSVEJ 62;DK;8940;RANDERS SV;86424112;5790001257736;1816@RBA-DK.DK
891447-5;29139504;86;5;SHELL BOULEVARDEN;RETAIL VEJLE APS;BOULEVARDEN 28;DK;7100;VEJLE;75827785;5790001257880;1447@RBA-DK.DK
891805-4;29139504;86;5;SHELL HORSENSVEJ;RETAIL VEJLE APS;HORSENSVEJ 78;DK;7100;VEJLE;75831499;5790001257897;1805@RBA-DK.DK
891826-0;29139504;86;5;SHELL SKÆRUP ØST;RETAIL VEJLE APS;ØSTJYSK MOTORV. 617B, SKÆRUP Ø;DK;7100;VEJLE;75860500;5790001257903;1826@RBA-DK.DK
891827-8;29139504;86;5;SHELL SKÆRUP VEST;RETAIL VEJLE APS;MOTORVEJ E45, SKÆRUP VEST;DK;7000;FREDERICIA;75860522;5790001257910;1827@RBA-DK.DK
891437-6;29139504;86;5;SHELL BØGEPARKEN;RETAIL VEJLE APS;FREDERICIAVEJ 151;DK;7100;VEJLE;75826329;5790001257927;1437@RBA-DK.DK
891582-9;29242011;86;5;SHELL VARDE;PH CONSULT GRINDSTED;RIBEVEJ 27 B;DK;6800;VARDE;75210606;5790001258634;1582@RBA-DK.DK
894597-4;29242011;86;5;SHELL SKJERN;PH CONSULT GRINDSTED;ØSTERGADE 83;DK;6900;SKJERN;97350234;5790001258641;4597@RBA-DK.DK
891403-8;29242011;86;5;SHELL STRANDBYPLADS;PH CONSULT GRINDSTED;STRANDBYPLADS 100;DK;6700;ESBJERG;75122366;5790001258658;1403@RBA-DK.DK
891831-0;29242011;86;5;SHELL RIBE;PH CONSULT GRINDSTED;BOHRSVEJ 1;DK;6760;RIBE;75423111;5790001258665;1831@RBA-DK.DK
894584-2;29242011;86;5;SHELL VEJEN;PH CONSULT GRINDSTED;FREDERIK D.7'S GADE 40;DK;6600;VEJEN;75363761;5790001258672;4584@RBA-DK.DK
893015-8;29396183;86;5;SHELL SONNERUP;RETAIL VESTSJÆLLAND APS;LANDEVEJEN 51, KR.SONNERUP;DK;4060;KIRKE SÅBY;46492625;5790001258900;3015@RBA-DK.DK
891146-3;29396183;86;5;SHELL VALD.SEJRS VEJ;RETAIL VESTSJÆLLAND APS;VALDEMAR SEJRS VEJ 6;DK;4300;HOLBÆK;59431390;5790001258917;1146@RBA-DK.DK
891527-4;29396183;86;5;SHELL KALUNDBORGVEJ;RETAIL VESTSJÆLLAND APS;KALUNDBORGVEJ 130;DK;4300;HOLBÆK;59431607;5790001258924;1527@RBA-DK.DK
891184-4;29396183;86;5;SHELL SMEDEGADE;RETAIL VESTSJÆLLAND APS;SMEDEGADE 34;DK;4200;SLAGELSE;58522088;5790001258931;1184@RBA-DK.DK
893138-8;29396183;86;5;SHELL DIANALUND;RETAIL VESTSJÆLLAND APS;KARSHOLTEVEJ 35A;DK;4293;DIANALUND;58264126;5790001258948;3138@RBA-DK.DK
893077-8;29396183;86;5;SHELL SVINNINGE;RETAIL VESTSJÆLLAND APS;HOLBÆKVEJ 13;DK;4520;SVINNINGE;59265353;5790001258955;3077@RBA-DK.DK
891194-3;29396183;86;5;SHELL JYDERUP;RETAIL VESTSJÆLLAND APS;HOLBÆKVEJ 45;DK;4450;JYDERUP;59277774;5790001258962;1194@RBA-DK.DK
881591-2;27234232;86;7;SHELL-DODO;ANDERS JØRGENSEN;AALBORGVEJ 356;DK;9362;GANDRUP;98259011;5790001259037;FIRSTSTOP@AUTONETNORD.DK
891705-6;29397783;86;5;SHELL MYLIUS ERICHSENSVEJ;T J RETAIL APS;MYLIUS ERICHSENSVEJ 78;DK;9210;AALBORG SØ;98148818;5790001259310;1705@RBA-DK.DK
891802-1;29397783;86;5;SHELL NØRRESUNDBY;T J RETAIL APS;FORBINDELSESVEJEN/LØVBAKKEN 2;DK;9400;NØRRESUNDBY;98174580;5790001259334;1802@RBA-DK.DK
891584-5;29397783;86;5;SHELL ENGTOFTEVEJ;T J RETAIL APS;ENGTOFTEVEJ 41;DK;9000;AALBORG;98101818;5790001259341;1584@RBA-DK.DK
891824-5;29397783;86;5;SHELL KAROLINELUNDSVEJ;T J RETAIL APS;KAROLINELUNDSVEJ 45-47;DK;9000;AALBORG;98125588;5790001259358;1824@RBA-DK.DK
891466-5;28963505;86;5;SHELL SERVICE TARUP;THOMAS NØRBÆK;RUGVANG 34, TARUP;DK;5210;ODENSE NV;66161608;5790001402242;1466@RBA-DK.DK
884580-2;17893009;86;7;SHELL DODO FÅBORG;VIVI RASMUSSEN;ASSENSVEJ 102;DK;5600;FAABORG;62618974;5790001402655;SHELL.FAABORG@MAIL.DK
884506-7;27116906;86;7;SHELL-DODO;JENS LOFT SØRENSEN;ANBÆKVEJ 36;DK;8450;HAMMEL;86963855;5790001402679;JENSLOFT@MAIL.TELE.DK
881217-4;25342127;86;7;SHELL-DODO;KIM JACOBSEN;ROSENHOLMSVEJ 29;DK;8543;HORNSLET;86994475;5790001402792;KIJA@MAIL-ONLINE.DK
843089-4;26969123;86;7;SHELL DODO SKÆLSKØR;KIM SKOV;NÆSTVEDVEJ 48;DK;4230;SKÆLSKØR;58190079;5790001402808;3089@SHELL-SERVICE.DK
843071-2;20818670;86;7;SHELL DODO GLUMSØ;ULRIK OLSEN;ØSTERGADE 1;DK;4171;GLUMSØ;57646355;5790001402907;SHELL.GLUMSO@TISCALI.DK
843127-2;25298594;86;7;SHELL DODO GØRLEV;JØRGEN JACOBSEN;GØRLEV LANDEVEJ 5;DK;4281;GØRLEV;58855511;5790001402914;SHELL@PARADIS.DK
843108-2;12432801;86;7;SHELL DODO NYK. SJÆLLAND;ALLAN HANSSON;VESTERBRO 16;DK;4500;NYKØBING SJ;59914545;5790001402945;SHELL@NYKA.DK
843132-2;14152393;86;7;SHELL DODO VIG;KLAUS STARKLINT;HOLBÆKVEJ 24;DK;4560;VIG;59316691;5790001402952;KLAUS@SHELLVIG.DK
843128-0;26738458;86;7;SHELL DODO RØNNEDE;ANETTE W. CHRISTENSEN;VORDINGBORGVEJ 513;DK;4683;RØNNEDE;56711500;5790001402976;SHELL.RONNEDE@TISCALI.DK
841160-5;20584807;86;7;SHELL DODO VORDINGBORG;MICHAEL OLE HANSEN;ALGADE 133;DK;4760;VORDINGBORG;55372667;5790001402983;SHELLVORDINGBORG@MAIL.DK
843712-1;17205072;86;7;SHELL DODO HAARBY;ANETTE LEHRMANN;AKKERUPVEJ 1;DK;5683;HAARBY;64732772;5790001403003;SHELL.HAARBY@BUSINESS.TELE.DK
843731-1;29229872;86;7;SHELL DODO V. SKERNINGE;CLAUS PEDERSEN;FÅBORGVEJ 39;DK;5762;VESTER SKERNINGE;62241448;5790001403027;SHELL.V.SKERNINGE@MAIL.DK
845854-9;20943084;86;7;SHELL DODO ØRBÆK;ØRBÆK AUTOFORRETNING A/S;HOVEDGADEN 4;DK;5853;ØRBÆK;65331224;5790001403034;BITTENDAMGAARD@MAIL.DK
841423-7;10304784;86;7;SHELL DODO RUDKØBING;ANNETTE PEDERSEN;BROLØKKEN 1;DK;5900;RUDKØBING;62512155;5790001403041;ANETTE.SHELL@MAIL.DK
844592-6;11979874;86;7;SHELL-DODO;CHRISTIAN WOLTER;REINHOLDTS BAKKE 62;DK;6640;LUNDERSKOV;75585366;5790001403072;SHELL.LUNDERSKOV@MAIL.DK
843830-1;16848875;86;7;SHELL-DODO;BENT SØGÅRD JEPPESEN;STOREGADE 39;DK;6855;OUTRUP;75251343;5790001403089;SHELL.OUTRUP@MAIL.DK
843787-3;19714195;86;7;SHELL-DODO;OLE FREDERIKSEN;BLÅVANDVEJ 25;DK;6857;BLÅVAND;75279093;5790001403096;BLAAVAND-AUTOSERVICE@MAIL.DK
844501-7;10100283;86;7;SHELL-DODO;BIRTHE & ERNST GRØNKJÆR;HERNINGVEJ 41;DK;6920;VIDEBÆK;97175430;5790001403102;SHELL.VIDEBAEK@MAIL.DK
844415-0;27232817;86;7;SHELL-DODO;SMEDEGÅRD BILER A/S;HOLSTEBROVEJ 148;DK;6980;TIM;96747200;5790001403140;SHELL.TIM@12MOVE.DK
844412-7;17793276;86;7;SHELL-DODO;ANNE METTE LUND & FL.NIELSEN;VIBORGVEJ 240, SKAVE;DK;7500;HOLSTEBRO;97468101;5790001403232;SHELLSKAVE@MAIL.DK
844605-6;25211383;86;7;SHELL-DODO;SERVICECENTRET HOLSTEBRO A/S;VIBORGVEJ 42;DK;7500;HOLSTEBRO;97422204;5790001403249;SHELL.VIBORGVEJ@MAIL.DK
844424-2;75158114;86;7;SHELL-DODO;TØRRINGHUSE BILCENTER A/S;LEMVIGVEJ 96;DK;7620;LEMVIG;97836101;5790001403270;LOVMAND1@GMAIL.COM
841823-8;28356870;86;7;SHELL-DODO;PREBEN LARSEN;THISTED KYSTVEJ 7;DK;7700;THISTED;97922120;5790001403287;SHELL.THISTED@HOTMAIL.COM
844319-4;16112402;86;7;SHELL-DODO;VAGN SØNDERUP;LANDEVEJEN 54;DK;7860;SPØTTRUP;97566135;5790001403300;MAIL@SHELL-KJGH.DK
844442-4;28288875;86;7;SHELL-DODO;HELGE NORDENHOF;RÅDHUSGADE 13;DK;8300;ODDER;86541188;5790001403317;SHELL.ODDER@C.DK
844433-3;31137756;86;7;SHELL-DODO;ERLING STEENFELDT;SKANDERBORGVEJ 2;DK;8370;HADSTEN;86915277;5790001403324;SHELL.HADSTEN@MAIL.DK
844454-9;20583347;86;7;SHELL-DODO;ANNETTE FLINT HALVORSEN;ÅRHUSVEJ 12;DK;8464;GALTEN;86943102;5790001403331;SHELL.GALTEN@MAIL.DK
844604-9;26283183;86;7;SHELL-DODO;KJELLERUP BILCENTER I/S;THORNINGVEJ 8;DK;8620;KJELLERUP;86881099;5790001403355;KJELLERUP.BILCENTER@MAIL.DK
841733-9;25801636;86;7;SHELL DODO;BJARNE DUUS;SUNDVEJ 2A;DK;8700;HORSENS;75625725;5790001403362;BJARNEDUUS@OSTBIRK.NET
844451-5;15135395;86;7;SHELL-DODO;FRANK POULSEN;HOBROVEJ 181;DK;8920;RANDERS NV;86420595;5790001403386;SHELLHELSTED@HOTMAIL.COM
841767-7;26536995;86;7;SHELL-DODO;LIND POULSEN APS;MARIAGERVEJ 123;DK;8920;RANDERS NV;86431035;5790001403393;SHELL.MARIAGERVEJ@MAIL.DK
844367-3;12153848;86;7;SHELL-DODO;KARSTEN JENSEN;SØNDERGADE 3;DK;9320;HJALLERUP;98281301;5790001403423;MAIL@LAPRINCIPESSA.DK
844363-2;11857949;86;7;SHELL-DODO;PETER JENSEN STØVRING A/S;HOBROVEJ 14;DK;9530;STØVRING;98371200;5790001403485;SHELLSTOVRING@MAIL.TELE.DK
841737-0;33640676;86;7;SHELL-DODO;SERVICENTER LØGSTØR APS.;BREDGADE 104;DK;9670;LØGSTØR;98672111;5790001403508;SHELL-LOGSTOR@12MOVE.DK
841610-9;11969437;86;7;SHELL-DODO;OLE PAHL APS;SØNDERGADE 250;DK;9900;FREDERIKSHAVN;98423919;5790001403539;SHELL@PAHL.DK
843780-8;16791997;86;7;SHELL-DODO;IRENE JOHANNESEN;KORSKROVEJ 8;DK;6705;ESBJERG Ø;75160132;5790001403553;SHELL.KORSKRO@PC.DK
845666-7;21969400;86;7;SHELL DODO MORUD;NIELS PEDERSEN;RUGÅRDSVEJ 765;DK;5462;MORUD;65964299;5790001403812;SHELL.MORUD@MAIL.DK
814368-7;29920486;86;7;SHELL-DODO;SERVICE CENTERET GUNDERUP A/S;HADSUND LANDEVEJ 520,GUNDERUP;DK;9260;GISTRUP;98332255;5790001404062;SCGUNDERUP@YAHOO.DK
